term,coef,std_err,p_value
Intercept,10.252265398113996,0.04510116677864542,0.0
C(season)[T.2001],0.05819024289350555,0.062027946934940806,0.34822696751718657
C(season)[T.2002],0.019329526958741995,0.062139968853311606,0.7557657703515948
C(season)[T.2003],0.07791345254716114,0.0620819775608791,0.20953894275246993
C(season)[T.2004],0.0952378538649986,0.06206432800940218,0.12497464726374097
C(season)[T.2005],0.16006746262786758,0.06216829639979969,0.010062289241753909
C(season)[T.2006],0.14351833433701208,0.06206321083219241,0.020796432278003558
C(season)[T.2007],0.1705726882915491,0.062456437903394245,0.0063369547022794764
C(season)[T.2008],0.13033913385253823,0.0601640053401796,0.030331847157884808
C(season)[T.2009],0.09141449921985981,0.06013326963445767,0.12852959925768412
C(season)[T.2010],0.14889969185520646,0.060160119620498706,0.013357152009263592
C(season)[T.2011],0.04704439665345351,0.05935968585214419,0.4280917898941764
C(season)[T.2012],-0.08143559409250292,0.05871636851143202,0.16552953631284723
C(season)[T.2013],-0.05790410319059484,0.058723054881580715,0.3241582846018846
C(season)[T.2014],-0.04606233720315157,0.058684237640684034,0.4325416927849639
C(season)[T.2015],-0.042232673162478,0.05880033063816318,0.4726464607642244
C(season)[T.2016],-0.05043435783055999,0.05869121129659188,0.39021023982484865
C(season)[T.2017],0.024709418049110657,0.058876235030466975,0.6747357897270697
C(season)[T.2018],0.02341714904168745,0.05873200221526812,0.6901239260718138
C(season)[T.2019],0.020544763888605846,0.05871265488281105,0.7264142925783433
C(season)[T.2020],-1.9990415833861805,0.06546692558597136,1.0974274110958367e-186
C(season)[T.2021],-0.4607473843353783,0.06150301953585718,8.115194848228323e-14
C(season)[T.2022],-0.12772079999505787,0.05864785186278705,0.029474547308767717
C(season)[T.2023],0.030509892360154646,0.05814035869284689,0.5997733499283263
C(season)[T.2024],0.07265389884206397,0.05818662574440212,0.21186165324309897
max_pre_streak,0.03648721128697646,0.003506075190602093,4.362067425715087e-25
