,count,mean,std,min,25%,50%,75%,max
attendance,4643.0,34439.88111135042,17813.55503169929,180.0,22636.5,32942.0,42605.5,100024.0
log_attendance,4643.0,10.281332190498064,0.6670621069686884,5.19295685089021,10.027318897209401,10.40250371834262,10.659738595477044,11.513165436174836
max_pre_streak,4643.0,1.9562782683609734,2.3494810673328597,0.0,0.0,1.0,3.0,19.0
margin,4643.0,34.373034675856125,26.758779736089327,0.0,13.0,29.0,49.5,186.0
season,4643.0,2012.548352358389,7.095639729141978,2000.0,2007.0,2013.0,2018.0,2024.0
